cell_id,city,city_code,type,context,W,sinuosity,qp,vbar,base_pass,dens_base,fr_base,qr_star,above_upper
NYC-nyc-10517-0-3,nyc,NYC,C,residential,0.762,1.0,9,0.042,False,2.086,1.0,0.0,False
NYC-nyc-53282-0-0,nyc,NYC,C,residential,0.853,1.0,10,0.046,False,2.095,1.0,0.0,False
NYC-nyc-26803-0-0,nyc,NYC,C,residential,1.158,1.0,14,1.192,True,0.172,1.004,0.0,False
NYC-nyc-49961-0-0,nyc,NYC,C,residential,1.28,1.0,15,1.226,True,0.162,0.995,0.0,False
NYC-nyc-72803-0-0,nyc,NYC,C,residential,1.311,1.0,16,1.236,True,0.167,1.002,0.0,False
NYC-nyc-42824-0-0,nyc,NYC,C,residential,1.311,1.0,16,1.239,True,0.167,1.001,0.0,False
NYC-nyc-182996-0-0,nyc,NYC,C,residential,1.585,1.0,19,1.266,True,0.16,1.0,4.0,False
SEA-seattle-5432169-0-1,seattle,SEA,A,residential,1.651,1.0,8,1.316,True,0.062,0.997,10.0,False
SEA-seattle-5449903-0-0,seattle,SEA,A,residential,1.829,1.0,9,1.313,True,0.063,1.0,15.0,False
SEA-seattle-5449118-0-0,seattle,SEA,A,residential,1.829,1.0,9,1.316,True,0.063,1.0,15.0,False
SEA-seattle-5438086-0-1,seattle,SEA,A,residential,1.829,1.0,9,1.321,True,0.063,0.999,12.0,False
SEA-seattle-5453813-0-0,seattle,SEA,A,residential,1.829,1.0022,9,1.262,True,0.066,1.0,15.0,False
SEA-seattle-5433778-0-0,seattle,SEA,A,residential,1.829,1.0,9,1.314,True,0.063,0.998,12.0,False
SEA-seattle-5426480-0-0,seattle,SEA,A,residential,1.829,1.0,9,1.315,True,0.063,1.0,15.0,False
SEA-seattle-5452128-0-1,seattle,SEA,A,residential,2.438,1.0,12,1.324,True,0.062,1.003,20.0,True
SEA-seattle-5454776-0-1,seattle,SEA,A,residential,2.591,1.0,13,1.323,True,0.064,1.001,20.0,True
