combo_id,cell_id,city,city_code,type,context,W,L,qp,x,sinuosity,ood_flags,vbar,base_pass,qr_star,above_upper
DC-097,SEA-seattle-5432169-0-1,seattle,SEA,A,residential,1.651,50.0,39.6,23.985,1.0,,1.07,True,0.0,False
DC-099,SEA-seattle-5434873-0-0,seattle,SEA,A,commercial,2.438,50.0,43.9,18.007,1.0,,1.209,True,10.0,False
DC-095,SEA-seattle-5439807-0-1,seattle,SEA,C,residential,1.524,50.0,45.7,29.987,1.0,W<W_min,1.003,True,0.0,False
DC-098,SEA-seattle-5432169-0-1,seattle,SEA,A,residential,1.651,50.0,49.5,29.982,1.0,,0.898,True,0.0,False
DC-100,SEA-seattle-5434873-0-0,seattle,SEA,A,commercial,2.438,50.0,58.5,23.995,1.0,,1.164,True,4.0,False
DC-101,SEA-seattle-5434873-0-0,seattle,SEA,A,commercial,2.438,50.0,73.1,29.984,1.0,qp>60,1.087,True,0.0,False
DC-102,SEA-seattle-5445989-0-0,seattle,SEA,A,commercial,4.064,50.0,73.2,18.012,1.0,qp>60,1.097,True,8.0,False
DC-103,SEA-seattle-5445989-0-0,seattle,SEA,A,commercial,4.064,50.0,97.5,23.991,1.0,qp>60,0.972,True,6.0,False
DC-104,SEA-seattle-5445989-0-0,seattle,SEA,A,commercial,4.064,50.0,121.9,29.995,1.0,qp>60,0.858,True,1.0,False
DC-054,TPE-taipei-idx9524-0-2,taipei,TPE,C,residential,1.19,50.0,21.4,17.983,1.0,W<W_min,1.14,True,0.0,False
DC-057,TPE-taipei-idx5150-0-0,taipei,TPE,C,commercial,1.2,50.0,21.6,18.0,1.0,W<W_min,1.136,True,0.0,False
DC-055,TPE-taipei-idx9524-0-2,taipei,TPE,C,residential,1.19,50.0,28.6,24.034,1.0,W<W_min,1.068,True,0.0,False
DC-058,TPE-taipei-idx5150-0-0,taipei,TPE,C,commercial,1.2,50.0,28.8,24.0,1.0,W<W_min,1.072,True,0.0,False
DC-060,TPE-taipei-idx12521-0-5,taipei,TPE,A,residential,1.75,50.0,31.5,18.0,1.0,,1.153,True,4.0,False
DC-063,TPE-taipei-idx1592-0-2,taipei,TPE,A,residential,1.96,50.0,35.3,18.01,1.0,,1.133,True,3.0,False
DC-056,TPE-taipei-idx9524-0-2,taipei,TPE,C,residential,1.19,50.0,35.7,30.0,1.0,W<W_min,0.993,True,0.0,False
DC-059,TPE-taipei-idx5150-0-0,taipei,TPE,C,commercial,1.2,50.0,36.0,30.0,1.0,W<W_min,0.997,True,0.0,False
DC-061,TPE-taipei-idx12521-0-5,taipei,TPE,A,residential,1.75,50.0,42.0,24.0,1.0,,1.05,True,1.0,False
DC-066,TPE-taipei-idx15608-0-1,taipei,TPE,A,commercial,2.48,50.0,44.6,17.984,1.0,,1.208,True,10.0,False
DC-064,TPE-taipei-idx1592-0-2,taipei,TPE,A,residential,1.96,50.0,47.0,23.98,1.0,,1.039,True,1.0,False
DC-062,TPE-taipei-idx12521-0-5,taipei,TPE,A,residential,1.75,50.0,52.5,30.0,1.0,,0.867,True,0.0,False
DC-065,TPE-taipei-idx1592-0-2,taipei,TPE,A,residential,1.96,50.0,58.8,30.0,1.0,,0.9,True,0.0,False
DC-067,TPE-taipei-idx15608-0-1,taipei,TPE,A,commercial,2.48,50.0,59.5,23.992,1.0,,1.163,True,3.0,False
