W,qp,qr,pass_frac,mean_Rv,mean_speed,mean_density,mean_flow_ratio
2.7,50,4,0.0,0.7171906086563477,0.8088164495493154,0.37005555555555525,0.5436522838573031
2.7,50,5,0.0,0.7100738267176003,0.8007904516758931,0.377952417695473,0.413629021564086
2.7,50,6,0.0,0.6601423823301347,0.7444799352205803,0.421607767489711,0.3677528645806936
2.7,50,8,0.0,0.6075414156671389,0.6851588473734694,0.4530352366255137,0.3530747163085575
2.7,50,10,0.0,0.630215097487249,0.7107292419193629,0.3810527263374481,0.2946717369988764
2.7,60,1,0.1,0.8157495860939529,0.9005654835775344,0.4375259773662557,0.7223083206733686
2.7,60,2,0.0,0.7038320028222518,0.7770114981167312,0.5052988683127574,0.5657114233516154
2.7,60,3,0.0,0.6328678114307889,0.6986689498315998,0.5517700617283943,0.43996615636248715
2.7,60,4,0.0,0.6196959967678147,0.6841276226354022,0.5710504115226336,0.4171063156379319
2.7,60,5,0.0,0.5533566212374429,0.6108907459968155,0.5918521090534988,0.3685787871267208
2.7,60,6,0.0,0.4412210076794962,0.4870960609959641,0.780015946502059,0.3114278690975317
2.7,60,8,0.0,0.475054612789225,0.5244474461100045,0.665272633744856,0.3273895968384931
2.7,60,10,0.0,0.4412104081508939,0.48708435940301925,0.6331471193415642,0.31640067212585593
3.0,10,1,0.8333333333333334,0.9973417448174486,1.1928501540084713,0.04597223057128568,1.007521966761634
3.0,10,2,0.8666666666666667,0.9949361457392133,1.1899729865321607,0.046530746187362707,1.0172956596889664
3.0,10,3,0.9,0.9909054642742766,1.185152172572259,0.0466488425925914,1.0225100154098707
3.0,10,4,0.8333333333333334,0.9812945421111551,1.173657226088753,0.04844328703703592,1.0159502933830071
3.0,10,5,0.8333333333333334,0.980715762077312,1.1729649880910011,0.04803124999999885,0.9960258260812206
3.0,10,6,0.8666666666666667,0.9792182670656959,1.1711739398725591,0.04883055555555445,1.0095682536165027
3.0,10,8,0.9333333333333333,0.9707361323150999,1.1610290564400292,0.05005949074073966,0.9827004501663639
3.0,10,10,0.7666666666666667,0.9607689561506499,1.149108019659432,0.04982824074073965,0.97925358402888
3.0,20,1,0.8666666666666667,0.9803031208008993,1.155689215942841,0.09765486111111142,0.9854954253428972
3.0,20,2,0.9,0.9688378864511725,1.1421727357694316,0.10030995370370416,0.9939091412241915
3.0,20,3,0.7666666666666667,0.9570080987956371,1.1282264800345456,0.10220462962963012,1.0005283814673411
3.0,20,4,0.8333333333333334,0.9409608359102526,1.1093082003019594,0.10487106481481505,0.992466455575889
3.0,20,5,0.43333333333333335,0.9186013947544577,1.0829484300737986,0.10886550925925947,0.9801797213901313
3.0,20,6,0.5333333333333333,0.9100105244074619,1.0728205665539163,0.11081527777777804,0.972184934855242
