cell_id,city,W,L,type,qp,x,qr_star,base_pass,base_pass_source
SIN-22811727-0,singapore,1.8,50.0,D,27,15.0,6.0,1.0,proxy(qr_star>0=>1)
SIN-22811728-0,singapore,1.8,50.0,D,27,15.0,18.0,1.0,proxy(qr_star>0=>1)
SIN-546209379-0,singapore,3.0,50.0,D,36,12.0,6.0,1.0,proxy(qr_star>0=>1)
SIN-1464509030-0,singapore,3.0,50.0,D,36,12.0,12.0,1.0,proxy(qr_star>0=>1)
SIN-22811726-0,singapore,1.8,50.0,D,45,25.0,0.0,,proxy(qr_star=0=>unknown)
SIN-22811727-0,singapore,1.8,50.0,D,45,25.0,1.0,1.0,proxy(qr_star>0=>1)
SIN-22811728-0,singapore,1.8,50.0,D,45,25.0,4.0,1.0,proxy(qr_star>0=>1)
TYO-39433615-0,tokyo,1.2,50.0,A,6,5.0,0.0,,proxy(qr_star=0=>unknown)
TYO-39433615-1,tokyo,1.2,50.0,A,6,5.0,0.0,,proxy(qr_star=0=>unknown)
TYO-285376873-0,tokyo,1.2,50.0,A,6,5.0,0.0,,proxy(qr_star=0=>unknown)
TYO-39433615-0,tokyo,1.2,50.0,A,14,11.667,0.0,,proxy(qr_star=0=>unknown)
TYO-39433615-1,tokyo,1.2,50.0,A,14,11.667,0.0,,proxy(qr_star=0=>unknown)
TYO-285376873-0,tokyo,1.2,50.0,A,14,11.667,0.0,,proxy(qr_star=0=>unknown)
TYO-1219088540-0,tokyo,1.2,50.0,A,18,15.0,0.0,,proxy(qr_star=0=>unknown)
TYO-39433580-0,tokyo,1.2,50.0,A,24,20.0,0.0,,proxy(qr_star=0=>unknown)
TYO-39433580-1,tokyo,1.2,50.0,A,24,20.0,0.0,,proxy(qr_star=0=>unknown)
TYO-153756863-0,tokyo,1.2,50.0,A,24,20.0,0.0,,proxy(qr_star=0=>unknown)
TYO-153756866-0,tokyo,1.2,50.0,A,24,20.0,0.0,,proxy(qr_star=0=>unknown)
TYO-153756868-0,tokyo,1.2,50.0,A,24,20.0,0.0,,proxy(qr_star=0=>unknown)
TYO-153756871-0,tokyo,1.2,50.0,A,24,20.0,0.0,,proxy(qr_star=0=>unknown)
TYO-153756872-0,tokyo,1.2,50.0,A,24,20.0,0.0,,proxy(qr_star=0=>unknown)
TYO-1219088540-0,tokyo,1.2,50.0,A,30,25.0,0.0,,proxy(qr_star=0=>unknown)
TYO-39433580-0,tokyo,1.2,50.0,A,42,35.0,0.0,,proxy(qr_star=0=>unknown)
TYO-39433580-1,tokyo,1.2,50.0,A,42,35.0,0.0,,proxy(qr_star=0=>unknown)
TYO-153756863-0,tokyo,1.2,50.0,A,42,35.0,0.0,,proxy(qr_star=0=>unknown)
TYO-153756866-0,tokyo,1.2,50.0,A,42,35.0,0.0,,proxy(qr_star=0=>unknown)
TYO-153756868-0,tokyo,1.2,50.0,A,42,35.0,0.0,,proxy(qr_star=0=>unknown)
TYO-153756871-0,tokyo,1.2,50.0,A,42,35.0,0.0,,proxy(qr_star=0=>unknown)
TYO-153756872-0,tokyo,1.2,50.0,A,42,35.0,0.0,,proxy(qr_star=0=>unknown)
TYO-1323228545-3,tokyo,2.5,50.0,B,12,4.8,18.0,1.0,proxy(qr_star>0=>1)
TYO-666208842-0,tokyo,1.2,50.0,B,18,15.0,0.0,,proxy(qr_star=0=>unknown)
TYO-666208842-0,tokyo,1.2,50.0,B,30,25.0,0.0,,proxy(qr_star=0=>unknown)
TYO-1323228545-3,tokyo,2.5,50.0,B,30,12.0,10.0,1.0,proxy(qr_star>0=>1)
TYO-184298559-10,tokyo,2.5,50.0,B,75,30.0,0.0,,proxy(qr_star=0=>unknown)
TYO-184298559-10,tokyo,2.5,50.0,B,112,44.8,0.0,,proxy(qr_star=0=>unknown)
TYO-669243891-0,tokyo,1.2,50.0,C,18,15.0,0.0,,proxy(qr_star=0=>unknown)
TYO-669243891-0,tokyo,1.2,50.0,C,30,25.0,0.0,,proxy(qr_star=0=>unknown)
TYO-154999907-2,tokyo,1.5,50.0,C,30,20.0,0.0,,proxy(qr_star=0=>unknown)
TYO-154125407-0,tokyo,1.5,50.0,C,45,30.0,0.0,,proxy(qr_star=0=>unknown)
TYO-154999907-2,tokyo,1.5,50.0,C,52,34.667,0.0,,proxy(qr_star=0=>unknown)
TYO-154125407-0,tokyo,1.5,50.0,C,68,45.333,0.0,,proxy(qr_star=0=>unknown)
TYO-103063342-0,tokyo,3.6,50.0,C,108,30.0,0.0,,proxy(qr_star=0=>unknown)
TYO-103063342-0,tokyo,3.6,50.0,C,162,45.0,0.0,,proxy(qr_star=0=>unknown)
TYO-1083468017-0,tokyo,1.5,50.0,D,45,30.0,0.0,,proxy(qr_star=0=>unknown)
TYO-1218085161-0,tokyo,1.5,50.0,D,45,30.0,0.0,,proxy(qr_star=0=>unknown)
TYO-1218085161-1,tokyo,1.5,50.0,D,45,30.0,0.0,,proxy(qr_star=0=>unknown)
TYO-389335193-1,tokyo,1.5,50.0,D,45,30.0,0.0,,proxy(qr_star=0=>unknown)
TYO-1083468017-0,tokyo,1.5,50.0,D,68,45.333,0.0,,proxy(qr_star=0=>unknown)
TYO-1218085161-0,tokyo,1.5,50.0,D,68,45.333,0.0,,proxy(qr_star=0=>unknown)
TYO-1218085161-1,tokyo,1.5,50.0,D,68,45.333,0.0,,proxy(qr_star=0=>unknown)
TYO-389335193-1,tokyo,1.5,50.0,D,68,45.333,0.0,,proxy(qr_star=0=>unknown)
TYO-670992443-2,tokyo,2.5,50.0,D,75,30.0,0.0,,proxy(qr_star=0=>unknown)
TYO-670992443-2,tokyo,2.5,50.0,D,112,44.8,0.0,,proxy(qr_star=0=>unknown)
