W,qp,qr,pass_frac,mean_Rv,mean_speed,mean_density,mean_flow_ratio
2.4,30,4,1.0,0.9779210963203179,1.2310088858932986,0.17035995370370405,1.0030555555555554
2.4,30,5,1.0,0.9736922839965291,1.2256856491138213,0.1710954861111113,0.9983333333333334
2.4,30,6,1.0,0.970294150018291,1.2214080717730653,0.1716302083333336,0.9986111111111111
2.4,30,8,1.0,0.9608637861057875,1.2095371122271668,0.17314641203703737,0.9983333333333334
2.4,30,10,0.9666666666666667,0.9433577624955636,1.187500497308099,0.17660590277777796,0.9933333333333333
2.4,30,12,0.9,0.9261142299076787,1.1657943065737453,0.17974855324074085,0.9977777777777778
2.4,30,15,0.36666666666666664,0.8815719169754994,1.1097243606199538,0.18703096064814803,1.0
2.4,30,18,0.13333333333333333,0.8720348881446309,1.097719131077412,0.1906235532407407,0.9980555555555557
2.4,30,20,0.0,0.7801090868860443,0.982002762325392,0.21297974537037015,1.4809607809505663
2.4,40,1,1.0,0.9963803342371774,1.2115665036992505,0.23031915509259265,1.0014583333333333
2.4,40,2,1.0,0.9893472376637322,1.203014484020749,0.23207175925925932,0.9999999999999998
2.4,40,3,0.9666666666666667,0.9840633960479097,1.196589502221521,0.2334285300925925,1.0014583333333333
2.4,40,4,1.0,0.9765795023556777,1.1874893277166756,0.23511400462962978,1.0022916666666666
2.4,40,5,1.0,0.9660087641164239,1.1746356493270296,0.2379855324074075,1.0050000000000001
2.4,40,6,1.0,0.9664386135683931,1.1751583324629207,0.23767274305555572,1.002291666666667
2.4,40,8,1.0,0.9532562241863425,1.1591289701148162,0.24095254629629625,1.004375
2.4,40,10,0.9333333333333333,0.932361839491069,1.1337220690125573,0.24646180555555575,1.003958333333333
2.4,40,12,0.7666666666666667,0.916673580833923,1.1146456500616355,0.248122974537037,1.0658796296296298
2.4,40,15,0.1,0.7915097622203026,0.9624504642509388,0.28093634259259237,1.341134035997676
2.4,40,18,0.0,0.5913167157817888,0.7190221457623927,0.3897890625,1.946380641490294
2.4,40,20,0.03333333333333333,0.6488963885875256,0.7890371796488276,0.36829947916666744,3.2722485318132146
2.4,50,1,1.0,0.9840265442929291,1.1704115555200698,0.29855324074074086,0.9998333333333335
